'2021-12-15'	605716.158403488	5793340.14096121	73.182	-1.17236863952439
'2021-12-15'	605580.696234832	5793323.89174301	72.964	-1.34083544664918
'2021-12-15'	605452.244739821	5793298.89441548	72.963	-1.8532091503339
'2021-12-15'	605319.206641834	5793264.90120117	73.613	-2.45552489298643
'2021-12-15'	605080.86139903	5793176.37446782	74.784	-3.18060613841408
'2021-12-15'	604993.428833894	5793147.81117523	75.234	-3.06191123713961
'2021-12-15'	604887.694589387	5793113.29746899	74.19	-3.23459523912697
'2021-12-15'	604741.967947508	5793097.96631266	74.536	-2.96473177281496
'2021-12-15'	604563.096968769	5793004.05031886	74.708	-1.97289009506403
'2021-12-15'	604701.487661992	5793011.43185669	74.535	-1.83899693582589
