	h	k	l	d	(Å)	F(real)	F(imag)	|F|	2θ	I	M	ID(λ)	Phase
	1	1	1	3.256313	-18.462117	-2.255481	18.5994	27.38898	8.81002	8	1	1
	2	0	0	2.820050	84.625796	3.197187	84.6862	31.72971	100.00000	6	1	1
	2	2	0	1.994076	70.288915	3.098244	70.3572	45.48653	62.30380	12	1	1
	3	1	1	1.700554	-10.781432	-2.118040	10.9875	53.91528	2.06507	24	1	1
	2	2	2	1.628157	60.819309	3.002362	60.8934	56.52209	18.99198	8	1	1
	4	0	0	1.410025	53.928406	2.909448	54.0068	66.28710	7.87368	6	1	1
	3	3	1	1.293928	-9.994280	-1.988975	10.1903	73.13858	0.91865	24	1	1
	4	2	0	1.261165	48.590403	2.819410	48.6721	75.36311	19.82642	24	1	1
	4	2	2	1.151281	44.262972	2.732158	44.3472	84.07475	13.88500	24	1	1
	3	3	3	1.085438	-10.089908	-1.867774	10.2613	90.50795	0.22996	8	1	1
	5	1	1	1.085438	-10.089908	-1.867774	10.2613	90.50795	0.68987	24	1	1
	4	4	0	0.997038	37.511958	2.565670	37.5996	101.28516	4.50350	12	1	1
	5	3	1	0.953351	-10.024081	-1.753959	10.1764	107.92599	1.37117	48	1	1
	4	4	2	0.940017	34.776364	2.486271	34.8651	110.19117	8.22328	24	1	1
	6	0	0	0.940017	34.776364	2.486271	34.8651	110.19117	2.05582	6	1	1
	6	2	0	0.891778	32.345924	2.409328	32.4355	119.64437	8.10905	24	1	1
	5	3	3	0.860107	-9.691789	-1.647079	9.83075	127.35208	0.86342	24	1	1
